ID,Type,From,To,Amount,Txn,ether,USD,date
4878,Sold,Hemba,lordtyle…,"3Ξ ($1,036)","Sep 25, 2020",3,1036,2020-09-25
4879,Sold,Goop,alxo,0.26Ξ ($40),"Nov 23, 2019",0.26,40,2019-11-23
4879,Sold,juggerna…,Goop,0.25Ξ ($38),"Nov 23, 2019",0.25,38,2019-11-23
4880,Sold,0x596572,934967,"54Ξ ($79,375)","Mar 05, 2021",54,79375,2021-03-05
4880,Sold,0xfba169,5858674,"46Ξ ($62,071)","Feb 28, 2021",46,62071,2021-02-28
4882,Sold,Dude_Nak…,artofrjm,1.69Ξ ($340),"May 26, 2020",1.69,340,2020-05-26
4882,Sold,Fearless…,Dude_Nak…,0.50Ξ ($59),"Mar 13, 2020",0.5,59,2020-03-13
4882,Sold,jmg,Fearless…,0.35Ξ ($41),"Jan 24, 2019",0.35,41,2019-01-24
4882,Sold,0x8234be,jmg,0.08Ξ ($34),"Nov 29, 2017",0.08,34,2017-11-29
4889,Sold,Hemba,0x8adbff,0.15Ξ ($105),"Dec 13, 2017",0.15,105,2017-12-13
4889,Sold,0x0bf913,Hemba,0.24Ξ ($65),"Jul 04, 2017",0.24,65,2017-07-04
4890,Sold,55241,tttaaa,0.45Ξ ($110),"May 22, 2019",0.45,110,2019-05-22
4892,Sold,shilpixe…,mikegee.…,"29.99Ξ ($52,353)","Mar 12, 2021",29.99,52353,2021-03-12
4893,Sold,0x00d7c9,11340748,0.10Ξ ($62),"Jun 03, 2018",0.1,62,2018-06-03
4897,Sold,Hemba,0x717403,0.05Ξ ($13),"Jun 26, 2017",0.05,13,2017-06-26
4898,Sold,0x3e17fa,0xcdd84c,"22.50Ξ ($44,801)","Feb 20, 2021",22.5,44801,2021-02-20
4898,Sold,MrTpunks…,0x3e17fa,"7.50Ξ ($2,639)","Sep 27, 2020",7.5,2639,2020-09-27
4898,Sold,0xcc80a4,MrTpunks…,"6.25Ξ ($2,202)","Sep 27, 2020",6.25,2202,2020-09-27
4898,Sold,barthazi…,0xcc80a4,"5.99Ξ ($2,216)","Sep 15, 2020",5.99,2216,2020-09-15
4898,Sold,0x6e5b3f,barthazi…,2.90Ξ ($597),"May 27, 2020",2.9,597,2020-05-27
4899,Sold,✨🚀🌙.et…,0x962bd5,"17.50Ξ ($36,673)","Apr 03, 2021",17.5,36673,2021-04-03
4900,Sold,0x58164b,Kenney,0.06Ξ ($45),"May 07, 2018",0.06,45,2018-05-07
4902,Sold,NeonNFT,0x177491,"3.35Ξ ($1,203)","Sep 28, 2020",3.35,1203,2020-09-28
4902,Sold,Pranksy,NeonNFT,"2.99Ξ ($1,055)","Sep 27, 2020",2.99,1055,2020-09-27
4902,Sold,0x5aaeb9,Pranksy,2.29Ξ ($792),"Sep 24, 2020",2.29,792,2020-09-24
4902,Sold,Pranksy,0x5aaeb9,2.19Ξ ($757),"Sep 24, 2020",2.19,757,2020-09-24
4902,Sold,Hemba,Pranksy,1.80Ξ ($613),"Sep 22, 2020",1.8,613,2020-09-22
4904,Sold,14966261,4273891,0.89Ξ ($161),"Oct 15, 2019",0.89,161,2019-10-15
4905,Sold,0xaae8c5,0x18ee9c,"17.48Ξ ($32,217)","Mar 30, 2021",17.48,32217,2021-03-30
4905,Sold,0xad287c,mayweall…,"5.25Ξ ($3,818)","Dec 29, 2020",5.25,3818,2020-12-29
4905,Sold,0x8234be,0xad287c,0.10Ξ ($42),"Apr 03, 2018",0.1,42,2018-04-03
4906,Sold,0xc155f9,0xb9afc8,"5.69Ξ ($8,636)","Feb 03, 2021",5.69,8636,2021-02-03
4906,Sold,0xe4c479,0xc155f9,"2.90Ξ ($1,021)","Sep 26, 2020",2.9,1021,2020-09-26
4906,Sold,Hemba,0xe4c479,"3Ξ ($1,051)","Sep 25, 2020",3,1051,2020-09-25
4909,Sold,pleyuh.e…,0xce7a9f,"25Ξ ($41,812)","Mar 07, 2021",25,41812,2021-03-07
4909,Sold,Shrugs,pleyuh.e…,"12Ξ ($20,571)","Feb 08, 2021",12,20571,2021-02-08
4909,Sold,0x0bf913,Shrugs,0.30Ξ ($84),"Aug 15, 2018",0.3,84,2018-08-15
4910,Sold,Goop,0x98c488,0.76Ξ ($153),"May 17, 2020",0.76,153,2020-05-17
4910,Sold,0x9cd85c,Goop,0.55Ξ ($78),"Jan 08, 2020",0.55,78,2020-01-08
4910,Sold,Goop,0x9cd85c,0.44Ξ ($59),"Jan 04, 2020",0.44,59,2020-01-04
4910,Sold,0x5d99d4,Goop,0.40Ξ ($54),"Dec 30, 2019",0.4,54,2019-12-30
4910,Sold,0x00d7c9,0x5d99d4,0.10Ξ ($30),"Oct 31, 2017",0.1,30,2017-10-31
4912,Sold,NeonNFT,0x13816f,"4.19Ξ ($1,563)","Oct 10, 2020",4.19,1563,2020-10-10
4912,Sold,Carlini8,Korniej,2.50Ξ ($849),"Sep 23, 2020",2.5,849,2020-09-23
4912,Sold,natealex,Carlini8,1.70Ξ ($639),"Sep 14, 2020",1.7,639,2020-09-14
4912,Sold,Pranksy,natealex,1.25Ξ ($460),"Sep 11, 2020",1.25,460,2020-09-11
4912,Sold,0x470e9b,Pranksy,1.15Ξ ($204),"Jan 18, 2020",1.15,204,2020-01-18
4913,Sold,Cyborg,0x560b92,0.33Ξ ($63),"Jul 11, 2017",0.33,63,2017-07-11
4915,Sold,0xd97f99,CryptoPa…,"4.60Ξ ($6,108)","Jan 21, 2021",4.6,6108,2021-01-21
4915,Sold,6373D,0xd97f99,"3.10Ξ ($2,006)","Dec 18, 2020",3.1,2006,2020-12-18
4915,Sold,0x4322d6,6373D,"2.25Ξ ($1,330)","Dec 06, 2020",2.25,1330,2020-12-06
4915,Sold,Cyborg,0x4322d6,0.20Ξ ($19),"Dec 07, 2018",0.2,19,2018-12-07
4916,Sold,1723665,15848961,"25.50Ξ ($48,170)","Mar 13, 2021",25.5,48170,2021-03-13
4916,Sold,3392101,1723665,"23.49Ξ ($43,232)","Mar 11, 2021",23.49,43232,2021-03-11
4916,Sold,6249972,3392101,"21.50Ξ ($38,245)","Mar 11, 2021",21.5,38245,2021-03-11
4918,Sold,0x_NFT,Plinythe…,"3.80Ξ ($1,558)","Oct 25, 2020",3.8,1558,2020-10-25
4918,Sold,0x51357b,0x_NFT,"3.75Ξ ($1,293)","Sep 25, 2020",3.75,1293,2020-09-25
4918,Sold,Hemba,0x51357b,1.50Ξ ($551),"Sep 11, 2020",1.5,551,2020-09-11
4919,Sold,55241,16075408,0.25Ξ ($48),"Aug 22, 2019",0.25,48,2019-08-22
4920,Sold,GoWest23,whiterab…,"5.50Ξ ($2,112)","Sep 18, 2020",5.5,2112,2020-09-18
4920,Sold,Pranksy,GoWest23,0.75Ξ ($101),"Jan 04, 2020",0.75,101,2020-01-04
4920,Sold,ark1,Pranksy,0.35Ξ ($74),"Jul 29, 2019",0.35,74,2019-07-29
4920,Sold,0x00d7c9,ark1,0.40Ξ ($70),"Apr 20, 2019",0.4,70,2019-04-20
4922,Sold,55241,7435267,0.05Ξ ($26),"May 28, 2018",0.05,26,2018-05-28
4923,Sold,renaissa…,0x48db19,"22.39Ξ ($42,005)","Feb 22, 2021",22.39,42005,2021-02-22
4923,Sold,Alex3422,renaissa…,"3.89Ξ ($1,326)","Sep 25, 2020",3.89,1326,2020-09-25
4923,Sold,natealex,Alex3422,"2.75Ξ ($1,034)","Sep 14, 2020",2.75,1034,2020-09-14
4923,Sold,DANNY,natealex,1.40Ξ ($294),"May 20, 2020",1.4,294,2020-05-20
4923,Sold,Hemba,DANNY,1Ξ ($202),"May 14, 2020",1,202,2020-05-14
4924,Sold,Pranksy,capital_…,"7.50Ξ ($1,708)","Jul 05, 2020",7.5,1708,2020-07-05
